Name,Team,Image,Batting Style,Bowling Style,Playing Role,Description
Moeen Ali,England,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316557.png",Left hand Bat,Right arm Offbreak,Batting Allrounder,"Moeen Ali was tipped for the top long before he won his Test debut at the start of 2014. But, after building a reputation as an elegant batter, it was his offspin bowling that earned him the call-up when England were left reeling from the surprise retirement of Graeme Swann.While many critics dismissed him as a part-time bowler, Moeen had a record to compare with the best in county cricket over recent seasons. And while he suffered more than his share of ups and downs, for the next five years he manfully carried the load in one of the most under-resourced areas of the English game. When he was dropped during the 2019 Ashes, subsequently losing his central contract, it turned out to be the beginning of the end for Moeen as a Test allrounder; nevertheless, on calling time in 2021, he finished just shy of 3000 Test runs and 200 wickets, making him England\s third most-prolific spinner of all time.He was also a 50-over World Cup winner, as well as a regular at the IPL - his flair for fast scoring and utility as an allrounder encouraging the decision to focus solely on white-ball cricket ahead of the T20 World Cup in the UAE. Moeen admitted that he felt his batting had been wasted in Test cricket, where he featured everywhere from No. 1 to No. 9, but there will still moments to treasure, from an unbeaten hundred in his second Test to four centuries in the calendar year in 2016.He also managed a Test hat-trick, against South Africa at The Oval in 2017, during a series in which he took 25 wickets and scored 252 runs, and played a significant part in England winning the 2015 Ashes, as well as the 3-0 whitewash of Sri Lanka in 2018-19. A measure of his abilities as a Test bowler were his six dismissals of Virat Kohli - the last of which, in what turned out to be Moeen\s final match, took him past Jim Laker\s 193 Test dismissals.It was his batting that stood out during his early Test appearances. His outstanding 108 not out, spread over 6-and-a-half hours and 281 balls, against Sri Lanka at Headingley took England to within two balls of saving the series but, while he did unveil the first doosra bowled by an Englishman in a Test - developed after consulting Saeed Ajmal at Worcestershire - he initially struggled to offer his captain the requisite control in the field with his bowling.That changed in training for the Lord\s Test against India. Encouraged by team-mate Ian Bell over the need to bowl quicker to survive in international cricket, Moeen benefited from a chance conversation from former Test offspinner Kumar Dharmasena, an umpire in the series and an onlooker at an England training session, who provided technical advice as to how to achieve the extra pace without losing any flight. It was to prove a pivotal meeting. Moeen was tighter at Lord\s, devastating in Southampton and excellent at Old Trafford as he finished the series with 19 wickets; the fourth-highest haul any spinner had claimed against India in a Test series outside the subcontinent.Moeen had already made ODI and T20I debuts in the West Indies, before playing all four of England\s games at the 2014 World T20. And while he struggled to recapture his batting form after that maiden century in Tests, he took his chance when promoted to the top of the order in the ODI side by hitting a 72-ball century in Colombo and ended the year a regular in all formats.Part of the team that failed abysmally at the 2015 World Cup, Moeen was also a key member of the revolution under Eoin Morgan, usually batting at No. 7 - from where he thrashed a 53-ball hundred against West Indies in 2017 - and providing spin back-up to his friend Adil Rashid. His captaincy skills also came to the fore, helping Worcestershire to secure a maiden T20 title and guiding Birmingham Phoenix into the final of the inaugural Hundred. In 2020, he became the first British Asian to captain England in a T20I.He had looked destined for such success for some time. Signed by Warwickshire as a 15-year-old, he made a century on first-class debut against Cambridge MCCU (he remains the second-youngest man to score a first-class half-century for the club) and Championship debut against Nottinghamshire but was dropped for the next game on both occasions. He also captained England Under-19s to the semi-final of the 2006 World Cup, blasted a 56-ball century in an U19 Test against Sri Lanka and, as a 14-year-old, smashed 195 not out in a Twenty20 match for his under-15 club side Moseley Ashfield. The next highest score was 11.But, frustrated by a lack of opportunity at Warwickshire during Mark Greatbatch\s ill-fated reign as coach of the club, he left for local rivals Worcestershire at the end of 2006 and was a key part of the team that won the Pro-40 title in 2007. It included a 46-ball century against Northants in 2007; there had, at the time, been only one faster List A century made in England in matches involving two first-class counties.There were setbacks. Trying to combat a tendency to nick off, he went through a period of batting like Shivnarine Chanderpaul and then a spell of leaving balls that hit his off stump instead. But he made 1270 runs in 2010 and 1375 runs in 2013 - the year he won the PCA\s Most Valuable Player award - as he augmented his flair with increased discipline. All the while, his offspin continued to improve.Moeen\s development had a significance beyond the playing field. Taking on the mantle of role model for fellow British Asians - a sector of society that county cricket has not always encouraged as it might have done - he also talked eloquently of his Muslim faith and grew perhaps the most noticeable beard in English cricket since the days of WG Grace. He became known fondly as the beard that\s feared at New Road.George Dobell"
Mohammad Rizwan,Pakistan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320458.png",Right hand Bat, ,Wicketkeeper Batter,"For several years, it appeared Mohammad Rizwans international career would only happen in a parallel universe, racking up domestic runs even as he struggled to get a game in the national side. But for someone who played an international for the first time in two years in January 2019, Mohammad Rizwan was spoken of remarkably frequently. Most often, he was used as a stick to threaten current first-choice Pakistan wicketkeeper and captain Sarfaraz Ahmed, but the Peshawar native had qualities of his own that suggested he might have been unfortunate not to play for Pakistan more often. A limited batsman but a technically sound keeper when he first rose through the ranks, Rizwan made his international debut shortly after the 2015 World Cup when the slot behind the stumps was still up for grabs. He made a bright start against Bangladesh, Sri Lanka and Zimbabwe, averaging nearly 60 with the bat in his first eight innings, but against more challenging opposition, his deficiencies were quickly exposed. A lengthy lean patch followed, and once he lost his place to Sarfaraz for the World T20 in 2016, there was little doubt who Pakistans No. 1 wicketkeeper was. After the debacle at the World T20, Sarfaraz was appointed captain of the limited-overs sides, and consequently Rizwans game time diminished further, coming to a complete halt until Sarfaraz sat out the last five games on the tour to South Africa in January 2019 serving a ban. On the domestic circuit, Rizwan has been a prolific run-accumulator, averaging a shade under 50 in List A cricket and 41 at first-class level. He doesnt, however, seem to have the shots necessary to make him a valuable asset in T20Is, but with that being Sarfarazs strongest suit, both as a batsman and captain, it would have been hard to dislodge him in the format at any rate. Having made his debut over a decade ago on Pakistans domestic circuit, Rizwan has been an ever-present participant in the Quaid-e-Azam trophy, plying his trade with the hugely successful SNGPL side, helping his side to three titles in the last four years. For that, the reward of a solitary Test cap in 2016 feels somewhat inadequate.He played for Karachi Kings in the Pakistan Super League, serving as back-up to Chadwick Walton for a couple of seasons, but once Sarfaraz Ahmed was dropped from the side, Rizwans career trajectory skyrocketed.A 95 in Brisbane in his first Test since being called up got him off to a good start, but it was Pakistans tour to England where he truly cemented his spot as Pakistans first choice wicketkeeper. A pair of half-centuries in Southampton combined with a near-perfect series behind the stumps demonstrated to Pakistan they have found a long-term wicketkeeping solution, and Rizwan found himself appointed vice-captain of the Test side, and fast-tracked into the white ball team.T20s and Rizwan didnt seem naturally suited to each other, but 2021 has seen him make a mockery of those predictions with a record-breaking year. He began by smashing an unbeaten 104 against South Africa, followed up by seven further half-centuries that saw him amass the most T20I runs in a single year by any player. For good measure, he was also the second highest runscorer at the 2021 PSL - behind only his Pakistan opening partner Babar Azam - and led Multan Sultans to the PSL title. His stability and consistency at the top of the order converted what tended to be a Pakistan weakness into a Pakistan strength. Rizwan now appears to be in the prime of his career, and one of Pakistans most prized assets heading into the 2021 World T20.Danyal Rasool"
Aiden Markram,South Africa,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322067.png",Right hand Bat,Right arm Offbreak,Opening Batter,"The first South Africa captain to win a World Cup, albeit at age-group level, Aiden Markram announced himself as champion material early. He led South Africas Under-19s to World Cup glory in 2014 and was also their leading run-scorer and third overall. It took him another three years to break into the senior side, but when he did, he made an impact right away with 97, 143 and 125 in his first three Tests, at home against Bangladesh and Zimbabwe. He did well against tougher opposition as well, making 94 in a comprehensive win over India in Centurion in January 2018 and two big hundreds against Australia in the contentious Sandpapergate series two months later. But overseas success took a while to come - after disappointing tours of India and Sri Lanka, Markram made his first away Test hundred in a second-innings effort in Rawalpindi in February 2021, showing he had the technique to navigate pitches that turned and stayed low. His 108 gave South Africa a fighting chance, but they eventually lost the series 2-0. A batter of class and composure, aggressive and strong on the off side, Markram did well in limited-overs cricket as well. In 2021, he was South Africas leading run-maker in ODIs, had a stellar T20 World Cup,  and was named the T20I Player of the Year in Cricket South Africas awards for the year."
Zahoor Khan,U.A.E.,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320100/320104.png",Right hand Bat,Right arm Medium fast,Bowler,
Karthik Meiyappan,U.A.E.,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/351500/351563.png",Right hand Bat,Legbreak,Bowler,
Glenn Phillips,New Zealand,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321223.png",Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Glenn Phillips is a compact, muscular hitter, known for playing outrageous shots, like the reverse pull. Born in South Africa, Phillips moved to New Zealand with his family at the age of five and has come through the cricket set-up in Auckland. He is a multi-dimensional player, who bats, bowls fastish offspin, fields superbly inside the ring and in the outfield, and keeps part-time as well.Although he made his T20I debut for New Zealand in 2017, he only cemented his place in the white-ball sides in 2020, using regular appearances in the CPL to hone his skills. In November 2020 against West Indies, he scored a 46-ball T20I century, then the fastest for a New Zealander, and he finished 2021 with the most sixes in T20s that year. Batting primarily in the middle order, Phillips was instrumental in New Zealands run to the 2021 T20 World Cup final, and played an unforgettable innings in the 2022 edition - a 64-ball 104 against Sri Lanka in a match in which the other 19 batters combined to score 149 runs off the bat. He kicked off 2023 with a counterattacking half-century from No. 7 against Pakistan that clinched New Zealands first ODI series win in the subcontinent since 2008."
Suryakumar Yadav,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/331100/331163.png",Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter,"Hard-hitting 360-degree batter Suryakumar Yadav has all the shots, including a few not in any textbook save the one written by AB de Villiers. he also has a yen for making batting look easy, as he showed during four golden years with Mumbai Indians starting in 2018, during which they won the IPL title twice, thanks in no small part to his 1700-plus runs at a strike rate of around 140.He made 73 on his Ranji Trophy debut, for Mumbai in 2010, and the following season scored 754 from nine games, the most by anyone from his team. That tally included a double-century against Orissa in his third match of the season, and a hundred in the next. He capped the season with yet another hundred, in the Duleep Trophy. After a blip in 2012-13, he was back among the runs the next season, where he finished among Mumbais top three run-getters.Suryakumar spent four seasons with Kolkata Knight Riders, starting in their second IPL title-winning year, 2014, though with 608 runs from 54 games he didnt quite provide a foretaste of what he would go on to do with Mumbai Indians in the years that followed.  Suryakumars first international came belatedly in 2021, whereupon he hooked the first ball he faced in a T20I, from Jofra Archer, for six. He produced two fifties in his first three T20Is, and the year after, made 117 off 55 in a game where India fell short in the face of a massive 215 by England."
Tim David,Australia,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/340300/340305.png",Right hand Bat,Right arm Offbreak,Middle order Batter,"Mumbai Indians decision to sign Tim David for INR 8.25 crore (AUD 1.5 million) at the 2022 IPL auction confirmed two things. Firstly, that the games formats had diverged so much that a man without a state contract or even a first-class appearance to his name could be worth such a sum; and secondly, that David had become one of the worlds most sought-after T20 finishers over the previous 12 months.David, a powerful 6ft 5in middle-order hitter, was born in Singapore but raised in Western Australia, attending Scotch College, a prestigious school in Perths leafy western suburbs. He was offered a state contract by WA in 2018-19 but never made the cut as a senior player. He took the rejection in his stride and threw himself into white-ball cricket, playing for Singapore - including at the T20 World Cup qualifier in 2019 - and winning sporadic opportuntiy for the Scorchers in the BBL.But his rise really started in 2020-21, when former WA bowling coach Adam Griffith lured him to Hobart Hurricanes. After a breakout BBL season, he was picked by Lahore Qalandars for the second half of the PSL: he kept performing, and contracts kept coming: for Surrey, Southern Brave, St Lucia Kings, RCB and Multan, then for Mumbai. In IPL 2022, he faced 86 balls and hit 16 of them for six, finishing the season with the best-ever strike rate for a batter in a single campaign (min. 50 balls) despite being dropped early on in the competition.Davids opportunities have largely come as a finisher but he has occasionally batted at No. 3 and hopes to develop into a versatile T20 batter. He is a genuine power-hitter, particularly strong down the ground in the mould of Kieron Pollard, his team-mate at Mumbai Indians in 2022. After a stress fracture in his foot while on his rookie deal at WA, he switched from seam to spin and now bowls handy offbreaks, and is also a reliable fielder in the deep at long-on or midwicket.ESPNcricinfo staff"
Axar Patel,India,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/331100/331164.png",Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"Left-arm spinner Axar Patel has been increasingly handy with the bat in the lower order across formats - enough to be classified as a bowling allrounder. He played just one first-class game in his debut season for Gujarat, but had a more successful showing in 2013, when he was one of the key contributors to India Under-23s title win in the ACC Emerging Teams Cup, with seven wickets, including a four-for in the semi-final against UAE. He was consistent for Gujarat with bat and ball in the Ranji Trophy that season, finishing with 369 runs at an average of 46.12 and 29 wickets at 23.58.Axar scored an IPL contract with Mumbai Indians ahead of the 2013 season but didnt get a game. He had a more impressive season the following year, after switching to Kings XI Punjab - 16 wickets at an economy rate of 6.22 - and was rewarded with a place in the Indian ODI squad for the tour to Bangladesh, though he only played one match.He made his T20 debut against Zimbabwe in 2015, but for the next three years found himself in and out of the limited-overs squads, stepping in more often than not in the absence of Ravindra Jadeja. His Test debut likewise came about when Jadeja was forced to sit out the 2021 England series with a broken thumb. Axar took five wickets on debut in the second Test in Chennai, and followed it up with an 11-wicket haul in the third: he finished the series with 27 wickets. In 2022, he made a 27-ball fifty, his first in ODIs, to seal a series win for India against West Indies."
Dhananjaya de Silva,Sri Lanka,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319800/319859.png",Right hand Bat,Right arm Offbreak,Allrounder,"A technically correct top-order batsman from the southern reaches of the island, Dhananjaya de Silva briefly caught the national selectors eye in 2015, then went on to have a bumper domestic season that marked him out for more intensive national duty. De Silva had been picked on potential in Sri Lankas mid-year T20s against Pakistan, in 2015, but didnt quite convince he was a T20 batsman, hitting 45 off 47 balls across two innings. What followed, though, was an emphatic blooming.De Silva first topped the batting charts in the Super T20 Provincial Tournament in early 2016, hitting 234 runs at a strike rate of 133, in six innings. Months later, he was the star of Tamil Unions first victorious first-class campaign in 55 years, hitting 868 runs at 54.20, which featured a crucial fourth-innings 121 in the match that clinched his team the title. Incredibly, though usually employed as a part-time offspinner, de Silva was also his clubs most successful bowler that season, claiming 32 wickets at 14.23. Those numbers helped earn him his first call-up to Sri Lankas Test squad - for the England tour in May and June 2016.  Andrew Fernando, May 2016"
